app_name,url,developer,description,category,recommended_age,in_app_purchase,update_date,number_of_installations
マッチ3D - マッチングパズルゲーム,https://applion.jp/android/app/com.loop.match3d/,Lion Studios Plus,「マッチ3D」は、ごちゃごちゃっと置かれた物の中なら、同じものをタップして揃えていく、ペア発見ゲームです。,パズルゲーム,全年齢,あり,2024/08/21,"10,000,000～"
Joy Match 3D,https://applion.jp/android/app/com.zen.match3d/,Flipped Game Studio,「Joy Match 3D」は、Flipped Game Studioが配信するパズルゲームです。,パズルゲーム,,,,
Match 3D Blast Pair Puzzle,https://applion.jp/android/app/com.puzzle.fun.free.matching3d/,Oakever Games,「Match 3D Blast Pair Puzzle」は、Oakever Gamesが配信するパズルゲームです。,パズルゲーム,,,,
Sniper 3D：銃を撃つゲーム,https://applion.jp/android/app/com.fungames.sniper3d/,Wildlife Studios,「Sniper 3D Assassin（スナイパー3Dアサシン）」は、狙撃手となり依頼のあった要人を暗殺していく、3Dスナイパーシューティングゲームです。,アクションゲーム,18歳以上,あり,2024/08/20,"500,000,000～"
Find 3D - Match 3D Items,https://applion.jp/android/app/com.jumble.boombox/,Boombox Games LTD,「Find 3D」は、Boombox Games LTDが配信するパズルゲームです。,パズルゲーム,全年齢,あり,2024/07/21,"1,000,000～"
カウントマスターズ：群衆クラッシュ＆棒人間ランニングゲーム。,https://applion.jp/android/app/freeplay.crowdrun.com/,,「カウントマスターズ」は、群衆を集め、数の暴力で敵を倒しながらゴールに向かう、ランゲームです。,,7歳以上,あり,2024/08/22,"100,000,000～"
クレイジーチャット,https://applion.jp/android/app/jp.henn.chat/,,「クレイジーチャット」は、送られてくるメッセージに、的確に返信をしていく、メッセージ返信型ゲームです。,,全年齢,なし,2024/07/26,"500,000～"
好きです！付き合ってください！,https://applion.jp/android/app/com.suki.detsuki/,,「好きです！付き合ってください！」は、DownTownAppsが配信するシミュレーションゲームです。,,,,,
ドライブマスター (Vehicle Masters),https://applion.jp/android/app/com.pd.vehiclemasters/,,「ドライブマスター (Vehicle Masters)」は、トラックや重機を操縦して、障害を避けて指定の場所に移動させてたり、動かしたりする、乗り物シミュレーターです。,,,,,
続:444回目のただいま,https://applion.jp/android/app/air.jp.globalgear.ningyo2/,,「続:444回目のただいま」は、捨てたはずの日本人形が、何度も何度も家に戻ってくる、ホラーストーリーゲームです。,,12歳以上,なし,2024/08/09,"10,000～"
